store_id,menu_name,price,menu_category,created_at,updated_at
49,해산물 스파게티,8900,양식,-,-
49,아마트리샤나 스파게티,8900,양식,-,-
49,치즈오븐 토마토스파게티,9900,양식,-,-
49,해산물치즈오븐스파게티,9900,양식,-,-
49,뚝배기매콤한 날치알쉬림프 크림파스타,9900,양식,-,-
49,스파게티 까르보나라,7900,양식,-,-
49,해산물크림 스파게티,8900,양식,-,-
49,매운 까르보나라,9900,양식,-,-
49,로제소스 해산물크림스파게티,9900,양식,-,-
49,화덕 피자,-,-,-,-
49,마르게리따 피자,12900,양식,-,-
49,하와이안 피자,14900,양식,-,-
49,베이컨 & 포테이토 피자,14900,양식,-,-
49,고르곤졸라 피자,14900,양식,-,-
49,비프 볶음밥,6900,양식,-,-
49,날치알 & 새우 볶음밥,7900,양식,-,-
49,매콤한 베이컨 마늘볶음밥,7900,양식,-,-
49,불닭도리아,8900,양식,-,-
49,버섯 크림 리조또,9900,양식,-,-
50,메인메뉴,-,-,-,-
50,카레돈까스,7000,일식,-,-
50,비프카레라이스,7000,일식,-,-
50,유연카레라이스,6000,일식,-,-
50,세트메뉴,-,-,-,-
50,카레돈까스+새우튀김(1ea),8500,일식,-,-
50,카레돈까스+고로케or롱고구마치즈스틱(1ea),8000,일식,-,-
50,카레돈까스+치킨가라아게(2ea),8000,일식,-,-
50,카레돈까스+해쉬포테이토(1ea),8000,일식,-,-
50,토핑,-,-,-,-
50,계란후라이,500,-,-,-
50,슬라이스치즈,500,-,-,-
50,모찌경단(떡꼬치),1000,-,-,-
50,새우튀김(2ea),3500,-,-,-
50,음료,-,-,-,-
50,맥주,4000,-,-,-
50,호가든/아사히/클라우드,5000,-,-,-
50,콜라/사이다/밀키스,1500,-,-,-
51,니꾸(고기)카레,7000,일식,-,-
51,야사이(야채)카레,6500,일식,-,-
51,니꾸(고기)카레우동,7000,일식,-,-
51,야사이(야채)카레우동,6500,일식,-,-
51,추가토핑,-,-,-,-
51,계란후라이,1000,-,-,-
51,야채튀김 2ea,1500,-,-,-
51,고로케 2ea,2000,-,-,-
51,버터새우 5ea,2000,-,-,-
51,우삼겹,4000,-,-,-
51,안심돈카츠,3500,-,-,-
52,짜장면,4500,중식,-,-
52,짬뽕(면or밥),5500,중식,-,-
52,홍합짬뽕(면or밥),6000,중식,-,-
52,통낙지짬뽕(면or밥),7000,중식,-,-
52,우동(면or밥),5500,중식,-,-
52,쟁반짜장(2인분),13000,중식,-,-
52,새우볶음밥,6000,중식,-,-
52,게살볶음밥,7000,중식,-,-
52,칠리새우볶음밥,7000,중식,-,-
52,미니탕수육,7000,중식,-,-
52,탕수육(보통),18000,중식,-,-
52,탕수육(소),12000,중식,-,-
52,사천탕수육(보통),20000,중식,-,-
52,사천탕수육(소),15000,중식,-,-
52,깐풍기(보통),23000,중식,-,-
52,깐풍기(소),18000,중식,-,-
53,제육볶음,6000,한식,-,-
53,김치찌개,6000,한식,-,-
53,백반,6000,한식,-,-
53,순두부,5000,한식,-,-
53,된장찌개,5000,한식,-,-
53,부대찌개,6000,한식,-,-
53,알밥,6000,한식,-,-
53,뚝배기불고기,6000,한식,-,-
53,돈쭈쌈밥(2인이상),8000,한식,-,-
53,쭈꾸미볶음(2인),20000,한식,-,-
54,야채곱창볶음,8000,한식,-,-
54,야채순대볶음,8000,한식,-,-
54,양념막창구이,10000,한식,-,-
54,소금막창구이,10000,한식,-,-
54,볶음밥,2500,한식,-,-
54,소주,3000,-,-,-
54,맥주,4000,-,-,-
54,음료수,1000,-,-,-
55,코다리막국수,7000,한식,-,-
55,비빔막국수,6500,한식,-,-
55,물막국수,6500,한식,-,-
55,옹심이 메밀칼국수,6500,한식,-,-
55,메밀칼국수,6500,한식,-,-
55,옹심이,8500,한식,-,-
55,비빔냉면,6500,한식,-,-
55,물냉면,6500,한식,-,-
55,코다리냉면,7000,한식,-,-
55,감자전,8000,한식,-,-
56,갈비구이 쌈밥 반상,11000,한식,-,-
56,퀴헨 도슭 반상,8500,한식,-,-
56,간장새우우장 비빔밥 반상,9000,한식,-,-
56,주류/음료,-,-,-,-
